unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
527,527,15.2,5.4,6.6,1.8,0.0,0.0,22.8,0.0,88.6,0.049,46.4,0.098,0.4,0.0,0.016,0.2,4.8,1.2,0.4,0.0,0.09,0.1,0.0,29.2,0.072,1.2,19.8,0.025,173.7,247.7,0.026,3.6,68.402,group3,pork country style ribs cooked,235
528,528,43.7,15.4,18.4,5.6,0.6,0.0,67.6,0.0,243.7,0.6,276.5,0.0,1.9,0.0,0.01,1.3,14.8,5.6,1.9,0.0,0.083,0.8,0.0,59.0,0.5,3.8,70.7,0.0,829.2,1536.6,0.1,11.1,174.7,group3,pork blade steak raw,664
529,529,6.2,2.2,2.5,0.6,0.0,0.0,22.7,0.0,71.4,0.091,46.4,0.017,0.7,0.051,0.014,0.3,3.8,0.7,0.4,0.8,0.0,0.0,0.0,3.8,0.045,1.1,26.6,0.072,220.4,337.4,0.082,2.2,34.679,group3,pork tenderloin cooked,153
530,530,12.1,4.5,5.4,1.0,0.0,0.0,24.2,0.0,71.2,0.077,51.9,0.008,0.6,0.066,0.024,0.2,3.9,0.6,0.3,0.5,0.007,0.2,0.0,18.7,0.006,1.0,16.9,0.033,161.1,332.9,0.02,2.1,56.575,group3,pork loin cooked,213
531,531,12.0,4.3,5.5,1.3,0.2,0.0,17.7,0.0,99.9,0.2,80.6,0.0,0.004,0.0,0.0,0.07,0.6,0.051,0.066,0.0,0.0,0.0,0.0,20.0,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2,51.6,group3,pork ears cooked,184
532,532,43.0,14.9,20.2,4.5,0.0,0.0,55.7,0.0,337.3,0.3,131.4,0.0,0.7,0.019,0.077,1.2,12.3,1.2,0.5,3.9,0.0,0.0,0.0,43.9,0.3,11.5,46.2,0.054,401.9,547.5,0.04,10.5,158.0,group3,pork tongue cooked,626
533,533,303.5,97.7,110.8,51.3,0.0,0.0,200.6,0.0,1037.6,1.1,775.0,0.0,4.1,0.0,0.055,3.3,60.5,8.1,7.4,0.0,0.084,4.8,0.0,194.6,1.0,11.8,207.5,0.1,1828.8,3138.7,0.3,32.4,710.5,group3,pork spareribs raw,3593
534,534,18.5,6.7,8.8,2.0,1.0,0.0,8.0,0.0,43.2,0.6,30.8,0.0,0.2,0.034,0.046,0.1,1.9,0.2,0.085,0.0,0.056,0.3,0.0,5.4,0.043,1.0,6.0,0.045,60.6,146.4,0.028,1.1,33.9,group3,ham patties grilled,205
535,535,45.6,12.8,19.1,9.6,0.0,0.0,22.8,0.0,93.0,0.028,45.1,0.083,0.021,0.08,0.099,0.1,6.3,0.8,0.1,0.0,0.026,0.4,0.032,15.7,0.034,1.7,16.8,0.083,140.0,152.3,0.2,1.4,85.844,group3,chicken skin roasted,508
536,536,158.9,43.2,60.2,37.6,0.0,0.0,495.6,0.0,1471.6,1.3,1585.9,0.015,1.3,0.2,0.004,2.6,117.7,14.1,10.9,0.0,0.0,0.0,0.0,294.3,1.7,27.2,543.4,0.4,4211.0,6226.0,0.5,35.5,976.092,group3,turkey breast raw,3554
537,537,8.7,2.3,3.0,2.5,0.0,0.0,22.4,0.0,78.7,0.047,82.5,0.041,0.037,0.073,0.08,0.2,7.7,1.1,0.6,0.0,0.086,0.1,0.0,21.7,0.1,1.2,26.2,0.096,228.0,270.2,0.025,2.7,54.095,group3,ground turkey raw,169
538,538,3.5,1.0,1.4,0.8,0.0,0.0,4.8,0.0,14.7,0.086,13.1,0.041,0.036,0.071,0.092,0.097,1.0,0.1,0.086,0.0,0.022,0.052,0.092,2.5,0.095,0.2,3.4,0.041,25.4,29.2,0.092,0.3,11.058,group3,chicken wing cooked,52
539,539,7.8,2.6,1.6,2.2,4.1,0.0,28.8,0.0,71.6,0.9,91.6,0.0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0.0,0.084,0.5,0.09,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4,49.7,group3,turkey roast roasted,209
540,540,74.3,21.6,34.6,9.4,0.0,0.0,181.6,0.0,568.0,0.3,542.2,0.4,0.6,0.064,0.015,1.1,51.4,7.4,5.3,42.4,0.0,0.0,0.0,96.0,0.5,9.2,160.0,0.1,1712.0,1944.0,0.1,7.7,403.9,group3,pheasant meat raw,1448
