unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
620,620,0.6,0.1,0.095,0.3,4.8,3.1,2.1,1.8,0.0,0.077,171.4,0.0,0.008,0.097,0.0,0.039,0.9,0.5,0.1,23.2,0.0,0.2,0.075,32.4,0.075,0.7,34.2,0.3,66.6,475.2,0.025,0.6,65.6,group5,zucchini cooked,27
621,621,0.4,0.064,0.3,0.047,0.1,0.051,0.073,0.057,0.0,0.1,2.0,0.0,0.0,0.068,0.033,0.0,0.088,0.062,0.078,0.012,0.0,0.0,0.1,0.072,1.4,0.071,0.045,0.3,0.0,0.1,1.1,0.017,0.801,group5,green olives pickled,4
622,622,0.1,0.057,0.089,0.04,19.8,0.0,3.0,5.6,0.0,0.06,91.0,0.0,0.2,0.007,0.0,0.3,0.5,0.4,0.3,50.6,0.0,0.0,0.0,51.8,0.3,1.3,26.5,0.3,115.0,639.4,0.042,0.4,132.2,group5,lotus root raw,85
623,623,0.3,0.085,0.063,0.1,2.4,0.9,0.8,1.5,0.0,0.005,10.3,0.0,0.041,0.061,0.0,0.027,0.3,0.034,0.02,1.6,0.0,0.3,0.035,50.8,0.03,0.4,13.3,0.4,12.7,38.1,0.092,0.007,57.8,group5,grape leaves,13
624,624,0.2,0.08,0.055,0.065,3.7,1.9,0.9,1.6,0.0,1.3,134.9,0.0,0.098,0.029,0.0,0.096,0.1,0.048,0.046,1.1,0.0,0.1,0.026,60.1,0.059,0.5,10.0,0.065,17.2,131.6,0.025,0.2,68.1,group5,dill pickled cucumber,17
625,625,0.1,0.0,0.0,0.0,1.8,0.0,1.5,1.2,0.0,0.016,51.8,0.0,0.089,0.064,0.0,0.096,0.5,0.033,0.08,30.8,0.0,0.0,0.0,43.1,0.05,0.9,39.8,0.009,21.8,174.7,0.07,0.1,79.4,group5,skunk cabbage,11
626,626,0.1,0.018,0.073,0.098,1.8,0.6,0.5,1.1,0.0,0.039,30.3,0.0,0.04,0.082,0.0,0.064,0.4,0.098,0.1,27.3,0.0,0.2,0.033,4.6,0.058,0.2,5.6,0.028,10.6,84.5,0.032,0.097,35.6,group5,banana pepper,9
627,627,0.3,0.1,0.01,0.2,13.9,8.5,2.0,5.4,0.0,0.014,319.8,0.0,0.006,0.073,0.0,0.035,0.7,0.5,0.2,74.4,0.0,0.0,0.059,91.3,0.4,1.4,54.1,0.1,77.7,767.3,0.096,0.5,188.7,group5,oriental radish raw,61
628,628,0.2,0.0,0.0,0.0,4.1,0.0,1.7,0.0,0.0,0.3,107.5,0.0,0.037,0.053,0.0,0.1,0.5,0.094,0.051,12.1,0.0,0.0,0.0,89.7,0.1,0.9,77.1,0.4,42.6,561.2,0.018,0.2,108.7,group5,purslane cooked,21
629,629,0.1,0.043,0.018,0.045,2.3,0.6,0.5,0.9,0.0,0.058,47.7,0.0,0.0,0.079,0.022,0.0,0.058,0.2,0.019,0.042,4.1,0.0,0.1,0.058,43.9,0.018,0.1,6.1,0.026,7.1,146.9,0.003,4.017,group5,rhubarb raw,11
630,630,0.2,0.0,0.0,0.0,3.6,0.0,2.0,1.9,0.0,0.4,91.1,0.0,0.045,0.063,0.0,0.034,0.5,0.1,0.086,15.7,0.0,0.0,0.0,52.9,0.097,1.3,29.4,0.1,41.2,278.3,0.087,0.2,77.6,group5,swamp cabbage,20
631,631,0.044,0.036,0.026,0.085,1.2,0.8,0.6,0.4,0.0,0.08,18.1,0.0,0.0,0.09,0.093,0.0,0.006,0.1,0.075,0.033,2.6,0.0,0.023,0.069,2.6,0.072,0.2,4.2,0.061,10.8,29.8,0.04,2.418,group5,mung bean sprouts raw,6
632,632,0.034,0.095,0.098,0.092,1.5,0.7,0.2,0.2,0.0,0.04,13.2,0.0,0.0,0.048,0.07,0.0,0.026,0.044,0.072,0.078,0.8,0.0,0.022,0.084,3.3,0.067,0.069,1.7,0.084,5.3,24.9,0.055,2.171,group5,onion cooked,7
633,633,0.042,0.065,0.092,0.013,1.3,0.4,0.6,0.6,0.0,0.089,33.4,0.0,0.02,0.007,0.0,0.052,0.1,0.057,0.045,10.8,0.0,0.7,0.3,18.4,0.073,0.6,29.2,0.1,16.6,136.4,0.047,0.1,32.314,group5,swiss chard raw,7
634,634,0.6,0.1,0.086,0.3,21.0,8.2,7.9,7.4,0.0,0.017,114.3,0.0,0.4,0.021,0.0,0.2,3.0,0.2,0.2,58.0,0.0,0.2,0.077,36.3,0.3,2.1,47.9,0.6,156.6,353.8,0.067,1.8,133.3,group5,peas raw,117
635,635,0.019,0.0,0.012,0.061,8.3,4.2,1.9,2.9,0.0,0.011,138.9,0.0,0.0,0.063,0.031,0.0,0.042,0.4,0.3,0.2,56.3,0.0,0.2,0.2,72.0,0.067,0.3,22.5,0.3,49.5,294.0,0.023,13.566,group5,cabbage cooked,35
636,636,0.6,0.1,0.065,0.2,5.6,0.0,3.9,2.9,0.0,0.3,133.6,0.0,0.2,0.074,0.0,0.6,1.8,0.077,0.1,51.5,0.0,0.0,0.0,124.7,0.2,1.7,29.0,0.5,39.2,667.0,0.035,0.3,190.9,group5,taro leaves cooked,35
637,637,0.2,0.086,0.098,0.1,9.4,2.6,1.0,1.2,0.0,0.067,112.6,0.0,0.007,0.066,0.0,0.095,0.2,0.009,0.1,5.2,0.0,0.6,0.055,37.2,0.038,1.4,17.4,0.3,21.1,107.9,0.004,0.057,55.6,group5,leeks cooked,38
638,638,0.8,0.1,0.2,0.3,40.2,5.7,16.3,16.3,0.0,0.5,136.2,0.0,0.4,0.1,0.0,0.1,1.7,1.2,0.086,0.8,0.0,0.028,0.063,27.4,0.4,2.5,70.6,0.8,194.0,709.5,0.059,2.0,104.3,group5,split peas cooked,227
639,639,0.4,0.029,0.1,0.2,14.2,2.6,4.1,1.5,0.0,0.05,55.9,0.0,0.0,0.079,0.016,0.0,0.093,0.9,0.5,0.068,5.9,0.0,0.086,0.0,3.7,0.075,0.3,16.8,0.014,46.7,135.8,0.029,20.347,group5,sweet corn yellow,58
640,640,0.037,0.012,0.0,0.083,0.5,0.2,0.3,0.3,0.0,0.047,11.2,0.0,0.0,0.073,0.064,0.0,0.061,0.1,0.004,0.067,0.7,0.0,0.1,0.088,2.9,0.039,0.3,1.7,0.068,6.2,24.2,0.058,1.326,group5,asparagus raw,2
641,641,1.4,0.049,0.095,0.3,10.7,0.0,5.1,7.6,0.0,0.013,171.3,0.0,0.082,0.046,0.0,0.2,1.1,0.4,0.2,34.6,0.0,1.7,0.8,267.9,0.077,2.1,39.9,1.0,60.8,222.3,0.062,0.4,329.4,group5,collard cooked,63
642,642,0.1,0.0,0.0,0.0,7.2,1.9,3.3,3.7,0.0,0.7,162.1,0.0,0.01,0.076,0.0,0.2,0.6,0.3,0.1,31.5,0.0,3.3,0.6,101.5,0.3,4.0,150.5,0.6,57.8,960.8,0.083,0.6,151.3,group5,swiss chard cooked,35
643,643,0.003,0.064,0.007,0.071,4.9,1.7,2.0,3.0,0.0,0.087,140.5,0.0,0.043,0.042,0.0,0.039,0.4,0.2,0.004,7.9,0.0,0.0,0.031,244.4,0.05,0.7,70.0,0.6,23.8,290.6,0.043,0.3,262.963,group5,nopales cooked,22
644,644,0.9,0.2,0.015,0.4,9.4,0.0,5.7,0.0,0.0,0.4,118.5,0.0,0.078,0.094,0.0,0.3,0.7,0.2,0.2,52.1,0.0,0.0,0.0,204.1,0.1,2.1,69.9,0.2,91.8,853.5,0.085,0.1,274.3,group5,tahitian taro cooked,60
645,645,0.1,0.013,0.03,0.034,1.5,0.8,1.1,0.7,0.0,0.087,66.7,0.0,0.035,0.088,0.0,0.059,0.4,0.077,0.1,31.5,0.0,0.068,0.079,73.5,0.021,0.6,13.3,0.1,25.9,176.4,0.083,0.1,109.0,group5,chinese cabbage pak choi raw,9
646,646,0.097,0.067,0.088,0.034,4.3,2.3,0.9,0.7,0.0,0.023,39.5,0.0,0.0,0.051,0.041,0.0,0.035,0.4,0.073,0.1,109.1,0.0,0.3,0.017,8.1,0.059,0.5,11.3,0.1,20.7,153.0,0.055,6.188,group5,green chili pepper,18
